String ID,Dev Notes / Context,Character Limit,Text
Exit,"General Usage, go forward a step or menu",16,離開
On,"General Usage, On as in enabled",16,開啟
Off,"General Usage, Off as in disabled",16,關閉
Go,"General Usage, select an option or go to a place",16,前往
Extras,"General Usage, indicating additional options",16,其他
Track,"General Usage, track a requirement or object",16,追蹤
Reward,Quest Rewards,24,報酬
Exp,Quest Rewards,16,經驗值
Rep,Quest Rewards,16,聲望
Requirements,"General Usage, quest or crafting conditions",24,需求
General,"General Usage, meaning general usage",24,一般
Deal,"General Usage, accepting a deal or offer",18,成交
Forest,Map/Area Name,28,森林
Makeshift camp,Quest names,64,臨時營地
Industrial area,Map/Area Name,28,工業區
Swamp,Map/Area Name,28,沼澤
Mall,Map/Area Name,28,商場
CNPP,Map/Area Name,28,核電廠
Zakov,Map/Area Name,28,扎科夫
Rural area,Map/Area Name,28,農村
Are you sure you want to scrap this item?,Scrap Menu,72,確定要分解此物品嗎？
"No, keep it",Scrap Menu,32,不，保留它
"Yes, destroy it",Scrap Menu,32,是，銷毀它
Add Marker,Marker context menu,24,新增標記
Remove Marker,Marker context menu,24,移除標記
Medication,Crafting Menu,24,醫療用品
Ammunition,Crafting Menu,24,彈藥
Food,Crafting Menu,24,食物
Repair Kit,Crafting Menu,24,修理套件
Repair Gear,Crafting Menu,24,修理裝備
Mod Weapons,Crafting Menu,24,改裝武器
Modules Tier 1,Crafting Menu,24,一階模組
Modules Tier 2,Crafting Menu,24,二階模組
Required Items,Crafting Menu,24,所需物品
No additional requirements,Crafting Menu,32,無額外需求
Craft,Crafting Menu,24,製作
Inventory,Inventory Menu,32,背包
Ground,Inventory Menu,32,地面
Anti bleed gel,Medication Items,32,止血凝膠
Bandage,Medication Items,32,繃帶
Sterilised bandage,Medication Items,32,消毒繃帶
First aid medikit,Medication Items,32,急救醫療包
Professional medikit,Medication Items,32,專業醫療包
Improvised medikit,Medication Items,32,簡易醫療包
Standard medikit,Medication Items,32,標準醫療包
Modern medikit,Medication Items,32,現代醫療包
Medikit T-000,Medication Items,32,T-000 醫療包
Anti-rad pills,Medication Items,32,抗輻射藥丸
Assault,Loadout name,20,突擊
The tried and tested choice. A versatile loadout that's generally effective at most ranges but excels at none of them.,Loadouts - Description,160,經典可靠的組合。在大多數距離內都有效，但沒有特別突出的優勢。
Bruiser,Loadout name,20,鬥士
Get in close and make them hurt! What it lacks in range it makes up for in close-range superiority.,Loadouts - Description,160,貼身肉搏，予以敵人迎頭痛擊！雖然射程不足，但在近距離擁有壓倒性優勢。
Marksman,Loadout name,20,神射手
They'll never see it coming. Scout out targets from afar and pick them off one-by-one. Just don't let them get too close.,Loadouts - Description,160,他們永遠無法預見死亡的到來。遠距離偵察，一個接着一個，遠遠地擊殺敵人。
Ranger,Loadout name,20,游擊隊員
Precision on the move. Great at mid-to-long range engagements with the ability to outrange most guns. Keep a sidearm handy for when they're too close.,Loadouts - Description,160,飄搖不定，若即若離，依靠射程優勢打擊敵人，在他們逼近時則用短兵還以顏色。
Tactical Operator,Loadout name,20,戰術幹員
Who needs big guns? Reposition quickly and use your trusty pistol and starting flashbangs to come out on top.,Loadouts - Description,160,以小博大，緊張刺激！用手槍和閃光彈確立優勢。
Someone packed light. This is going to be rough.,Loadouts - Description,160,輕裝上陣，沒什麼可怕的。
Backpack 1,Backpacks,48,1級背包
Military standard backpack,Backpacks,48,標準軍用背包
Military high capacity backpack,Backpacks,48,大容量軍用背包
RTU Backpack,Backpacks,48,RTU 背包
RTU-000 Backpack,Backpacks,48,RTU-000 背包
SZX-100 Backpack,Backpacks,48,SZX-100 背包
HFY Backpack,Backpacks,48,HFY 背包
TQ001 Backpack,Backpacks,48,TQ001 背包
EXE Backpack,Backpacks,48,EXE 背包
ZXOP-500 Backpack,Backpacks,48,ZXOP-500 背包
School bag,Backpacks,48,書包
Santa's Backpack,Backpacks,48,聖誕背包
Backpack small,Backpacks,48,小型背包
Class A documents,Documents,48,A 級檔案
Class B documents,Documents,48,B 級檔案
Class C documents,Documents,48,C 級檔案
Class D documents,Documents,48,D 級檔案
Secret documents. Hand these to a faction leader to improve your reputation.,Documents,96,機密文件。將其交給陣營領袖可提升聲望。
Electrical Anomaly,NPCs,48,電擊異常
Fiery Anomaly,NPCs,48,火焰異常
Arman,NPCs,48,阿爾曼
Lazar,NPCs,48,拉扎爾
Lazar's Guard,NPCs,48,拉扎爾的近衛
Orel,NPCs,48,奧廖爾
Doctor,NPCs,48,醫生
Networker,NPCs,48,聯絡員
Barman,NPCs,48,酒保
Big,NPCs,48,「大塊頭」
Blink,NPCs,48,「閃爍」
Boar,NPCs,48,野豬
Mutated Boar,NPCs,48,變異野豬
Soldier Gedeon Bogdanov,NPCs,48,士兵 - 吉迪恩·博格達諾夫
Conductor,NPCs,48,列車長
Soldier Ermolai Vlasov,NPCs,48,士兵 - 埃爾莫萊·弗拉索夫
Joel Emerson,NPCs,48,喬爾·埃默森
Max Parker,NPCs,48,馬克斯·帕克
Daniel Baker,NPCs,48,丹尼爾·貝克
Crow,NPCs,48,烏鴉
The Networker,NPCs,48,聯絡員
Engineer Volkov,NPCs,48,工程師 - 沃爾科夫
Igor Kuzmin,NPCs,48,伊戈爾·庫茲明
Ghoul,NPCs,48,食屍鬼
Soldier Yakim Borisov,NPCs,48,士兵 - 雅基姆·鮑里索夫
Soldier Vadim Borisov,NPCs,48,士兵 - 瓦迪姆·鮑里索夫
Soldier Kodiak Vlasov,NPCs,48,士兵 - 科迪亞克·弗拉索夫
The Guide,NPCs,48,嚮導
infestation,NPCs,48,感染源
Mr. Junk,NPCs,48,「垃圾」先生
Kibba,NPCs,48,基巴
Reynard Shepard,NPCs,48,雷納德·謝潑德
General Artemovich,NPCs,48,將軍 - 阿爾捷莫維奇
Henry Davies,NPCs,48,亨利·戴維斯
The Doctor,NPCs,48,醫生
Dimitriy Alexeev,NPCs,48,德米特里·阿列克謝耶夫
Crimson Assassin,NPCs,48,深紅公司殺手
Sergeant Desya Popo,NPCs,48,中士 - 德西亞·波波
Rabbit,NPCs,48,兔子
Rat,NPCs,48,老鼠
Santa Claus,NPCs,48,聖誕老人
Chief Scientist Isaak Fedorov,NPCs,48,首席科學家 - 伊薩克·費奧多羅夫
Mutated Spider,NPCs,48,變異蜘蛛
Spine,NPCs,48,「脊椎」
Alexei Andreevich,NPCs,48,阿列克謝·安德烈耶維奇
Osip Andreevich,NPCs,48,奧西普·安德烈耶維奇
Riley Evans,NPCs,48,萊利·埃文斯
Viktor Tutorialovich,NPCs,48,維克托·圖圖洛維奇
Unknown,NPCs,48,神祕人
Wolf,NPCs,48,狼
Zombie,NPCs,48,殭屍
Armor repair kit,Armor Repair,48,護甲修理套件
"To use this repair kit put the weapon in the primary slot, right click the repair kit and use the green box.",Armor Repair Description,256,要使用此修理套件，請將武器裝備至主欄位，並右鍵使用以進行修理
"To use this repair kit put the weapon in the primary slot, right click the repair kit and use the item.",Item description,256,要使用此修理套件，請將武器裝備至主欄位，並右鍵使用以進行修理
"To use this repair kit equip the armor, right click the repair kit and use the item.",Armor Repair Description,256,要使用此修理套件，請裝備護甲，並右鍵點擊修理套件以進行修理
Weapon repair kit,Weapon Repair,48,武器修理套件
Total Hunts,Stats,48,總狩獵次數
Hunts Survived,Stats,48,成功撤離次數
Survival Rate %,Stats,48,成功率%
Best survival streak,Stats,48,最高連續撤離次數
Current survival streak,Stats,48,目前連續撤離次數
Total money received,Stats,48,狩獵行動總收入
Most money from a single hunt,Stats,48,單次狩獵最高收入
Most exp from a single hunt,Stats,48,單次狩獵獲得的最高經驗值
Total human killed,Stats,48,總人類擊殺
Bandits,Stats/Factions,48,強盜
Green army,Stats/Factions,48,綠軍
Crimson Corporation,Stats/Factions,48,深紅公司
Scientist,Stats/Factions,48,科學家
Loner,Stats/Factions,48,獨行俠
???,Stats,48,???
Boss: Lazar,Stats,48,首領：拉扎爾
Boss: Arman,Stats,48,首領：阿爾曼
Boss: Orel,Stats,48,首領：奧廖爾
Boss: Kibba,Stats,48,首領：基巴
Total mutants killed,Stats,48,擊殺變異體
Total chest opened,Stats,48,總容器搜刮
Tool box,Stats,48,工具箱
Medication box,Stats,48,醫療用品箱
Electronics box,Stats,48,電子元件箱
Bag,Stats,48,袋子
Cabinet,Stats,48,櫃子
Safe,Stats,48,保險箱
Wood box,Stats,48,木箱
Hidden stash,Stats,48,隱藏儲藏
Weapon box,Stats,48,武器箱
Attachment box,Stats,48,配件箱
Vending machine,Stats,48,自動販賣機
Crystal,Stats,48,水晶
Tikhon Romanov,Traders,48,季洪·羅曼諾夫
Medication And Food,Trader Pages,48,醫療用品與食物
Equipment,Trader Pages,48,裝備
Pistol And SMG,Trader Pages,48,手槍與衝鋒槍
Shotgun,Trader Pages,48,散彈槍
Sniper Rifle And DMR,Trader Pages,48,狙擊槍與精確射手步槍
Stock And Barrel,Trader Pages,48,槍托與槍管
Magazine,Trader Pages,48,彈匣
Handguard And Pistol Grip,Trader Pages,48,護木與握把
Attachment And Scope,Trader Pages,48,配件和瞄準鏡
Building kit: ammo 1,Upgrade Base Kit,48,建造套件：彈藥 1
Building kit: ammo 2,Upgrade Base Kit,48,建造套件：彈藥 2
Building kit: Bedroom 1,Upgrade Base Kit,48,建造套件：臥室 1
Building kit: Bedroom 2,Upgrade Base Kit,48,建造套件：臥室 2
Building kit: forge 1,Upgrade Base Kit,48,建造套件：鍛造 1
Building kit: forge 2,Upgrade Base Kit,48,建造套件：鍛造 2
Building kit: garden 1,Upgrade Base Kit,48,建造套件：花園 1
Building kit: garden 2,Upgrade Base Kit,48,建造套件：花園 2
Building kit: gym 1,Upgrade Base Kit,48,建造套件：健身房 1
Building kit: gym 2,Upgrade Base Kit,48,建造套件：健身房 2
Building kit: Infirmary 1,Upgrade Base Kit,48,建造套件：醫務室 1
Building kit: Infirmary 2,Upgrade Base Kit,48,建造套件：醫務室 2
Building kit: kitchen 1,Upgrade Base Kit,48,建造套件：廚房 1
Building kit: kitchen 2,Upgrade Base Kit,48,建造套件：廚房 2
Building kit: Radio station 1,Upgrade Base Kit,48,建造套件：廣播電台 1
Building kit: Radio station 2,Upgrade Base Kit,48,建造套件：廣播電台 2
Building kit: recycling 1,Upgrade Base Kit,48,建造套件：回收 1
Building kit: recycling 2,Upgrade Base Kit,48,建造套件：回收 2
Building kit: scavenger 1,Upgrade Base Kit,48,建造套件：拾荒者 1
Building kit: scavenger 2,Upgrade Base Kit,48,建造套件：拾荒者 2
Building kit: shooting range 1,Upgrade Base Kit,48,建造套件：射擊場 1
Building kit: shooting range 2,Upgrade Base Kit,48,建造套件：射擊場 2
Building kit: storage 1,Upgrade Base Kit,48,建造套件：儲藏 1
Building kit: storage 2,Upgrade Base Kit,48,建造套件：儲藏 2
Building kit: workshop 1,Upgrade Base Kit,48,建造套件：工坊 1
Building kit: workshop 2,Upgrade Base Kit,48,建造套件：工坊 2
Foregrip,Weapon Mods,64,前握把
"Muzzle brake PPD-3C for 9x18, 9x19",Weapon Mods,64,9x18、9x19 PPD-3C 槍口制退器
TR-15 WM stock War Machine,Weapon Mods,64,AR-15「戰爭機器」槍托
TR-15 B mag magazine GEN T3 desert,Weapon Mods,64,PMAG 30 AR/M4 GEN M3 沙漠色彈匣
TR-15 pistol grip,Weapon Mods,64,AR-15 手槍握把
Batko MKM handguard,Weapon Mods,64,TAPCO SKS 護木
EC standard stock,Weapon Mods,64,AK 標準槍托
VS-98 5 round magazine,Weapon Mods,64,SV-98 5發彈匣
EC standard handguard,Weapon Mods,64,AK 標準護木
suppressor 762x25,Weapon Mods,64,7.62x25 消音器
EC series long barrel,Weapon Mods,64,AK 長槍管
Milosun red dot,Weapon Mods,64,Holosun 紅點瞄準鏡
PRK standard handguard,Weapon Mods,64,RPK 標準護木
F90 attachment rail,Weapon Mods,64,P90 導軌
NC 47 long barrel,Weapon Mods,64,Mk47 長槍管
Grusa double rail,Weapon Mods,64,OTs-14 雙導軌
G76 short barrel,Weapon Mods,64,G36 短槍管
Fanaz standard pistol grip,Weapon Mods,64,FAMAS 標準手槍握把
Sha-12 long suppressor,Weapon Mods,64,ShAK-12 長消音器
N4o1 standard stock,Weapon Mods,64,M4A1 標準槍托
TR-15 black handguard,Weapon Mods,64,AR-15 黑色護木
ZZ VEL magazine,Weapon Mods,64,AS Val 彈匣
EC wooden foregrip with rail,Weapon Mods,64,AK 木質導軌前握把
FRD wooden stock,Weapon Mods,64,SVD 木質槍托
EC B mag magazine GEN T3 desert,Weapon Mods,64,PMAG 30 AK74 GEN M3 沙漠色彈匣
MKM handguard,Weapon Mods,64,SKS 護木
EC desert handguard,Weapon Mods,64,AK 沙漠色護木
Spec scope,Weapon Mods,64,Spec 瞄準鏡
Skop standard handguard,Weapon Mods,64,SCAR 標準護木
Boulder standard grip,Weapon Mods,64,Protecta 標準握把
NB5 pistol grip,Weapon Mods,64,MP5 手槍握把
N1o standard stock,Weapon Mods,64,M1A 標準槍托
G76 standard stock,Weapon Mods,64,G36 標準槍托
Fanaz 60-round magazine,Weapon Mods,64,FAMAS 60發彈匣
Muzzle brake 7.62x51 and 7.62x39 revenge,Weapon Mods,64,7.62x51、7.62x39「復仇」槍口制退器
TR-15 tactical stock grey,Weapon Mods,64,AR-15 灰色戰術槍托
TR-15 standard magazine,Weapon Mods,64,AR-15 標準彈匣
TR-15 desert pistol grip,Weapon Mods,64,AR-15 沙漠色手槍握把
STV-40 15 round magazine,Weapon Mods,64,SVT-40 15發彈匣
VS-98 10 round magazine,Weapon Mods,64,SV-98 10發彈匣
suppressor 5.7x28,Weapon Mods,64,5.7x28 消音器
EC series short barrel,Weapon Mods,64,AK 短槍管
Edatech dot,Weapon Mods,64,EOTech 紅點瞄準鏡
PRK standard grip,Weapon Mods,64,RPK 標準握把
NB5 stock,Weapon Mods,64,MP5 槍托
NC 47 short barrel,Weapon Mods,64,Mk47 短槍管
Grusa single rail,Weapon Mods,64,OTs-14 單導軌
EDL 10 round magazine,Weapon Mods,64,DVL-10 10發彈匣
Sha-12 short suppressor,Weapon Mods,64,ShAK-12 短消音器
Suppressor 5.56x45 CAK CBSS desert,Weapon Mods,64,5.56x45 KAC QDSS 沙漠色消音器
TR-15 Handguard Lone Moon,Weapon Mods,64,AR-15「孤月」護木
ZZ VEL handguard,Weapon Mods,64,AS Val 護木
EC wooden foregrip,Weapon Mods,64,AK 木質前握把
FRD 20 round magazine,Weapon Mods,64,SVD 20發彈匣
EC standard magazine,Weapon Mods,64,AK 標準彈匣
suppressor 9x19,Weapon Mods,64,9x19 消音器
EC handguard,Weapon Mods,64,AK 護木
CU scope,Weapon Mods,64,PU 瞄準鏡
Skop standard pistol grip,Weapon Mods,64,SCAR 標準手槍握把
BBsH drum magazine,Weapon Mods,64,PPSh-41 彈鼓
NB153 stock,Weapon Mods,64,MP-153 槍托
tactical green laser,Weapon Mods,64,戰術綠色雷射
G76 long handguard (desert),Weapon Mods,64,G36 沙漠色長護木
Fanaz 30-round magazine,Weapon Mods,64,FAMAS 30發彈匣
Muzzle brake 5.56x45 revenge,Weapon Mods,64,5.56x45「復仇」槍口制退器
TR-15 tactical stock desert,Weapon Mods,64,AR-15 沙漠色戰術槍托
TR-15 iron sight,Weapon Mods,64,AR-15 金屬瞄準鏡
N4o1 standard pistol grip,Weapon Mods,64,M4A1 標準手槍握把
STV-40 10 round magazine,Weapon Mods,64,SVT-40 10發彈匣
EC stock,Weapon Mods,64,AK 槍托
Stas 12 standard stock,Weapon Mods,64,SPAS-12 標準槍托
suppressor 5.45x39 TBS,Weapon Mods,64,5.45x39 PDS 消音器
EC-101 tactical magazine,Weapon Mods,64,AK-101 戰術彈匣
Alton scope,Weapon Mods,64,ECLAN 瞄準鏡
Renindon 700 extended magazine,Weapon Mods,64,雷明頓 M700 擴展彈匣
N1o/skop magazine 50 round,Weapon Mods,64,M1A/SCAR 50發彈鼓
Grusa tactical suppressor,Weapon Mods,64,OTs-14 戰術消音器
EDL 5 round magazine,Weapon Mods,64,DVL-10 5發彈匣
Sha-12 standard brake,Weapon Mods,64,ShAK-12 標準槍口制退器
Suppressor 5.56x45 CAK CBSS,Weapon Mods,64,5.56x45 KAC QDSS 消音器
TR-15 desert handguard,Weapon Mods,64,AR-15 沙漠色護木
ZZ VEL pistol grip,Weapon Mods,64,AS Val 手槍握把
EC-74u handguard,Weapon Mods,64,AK-74U 護木
FRD 10 round magazine,Weapon Mods,64,SVD 10發彈匣
suppressor 9x18,Weapon Mods,64,9x18 消音器
EC standard pistol grip,Weapon Mods,64,AK 標準手槍握把
TSU scope,Weapon Mods,64,PSO 瞄準鏡
Skop long barrel,Weapon Mods,64,SCAR 長槍管
BBsH standard magazine,Weapon Mods,64,PPSh-41 標準彈匣
tactical red laser,Weapon Mods,64,戰術紅色雷射
G76 long handguard,Weapon Mods,64,G36 長護木
Fanaz 20-round magazine,Weapon Mods,64,FAMAS 20發彈匣
Muzzle brake 5.56x45 TVS CQB,Weapon Mods,64,5.56x45 TVS CQB 槍口制退器
TR-15 stock KTR Green,Weapon Mods,64,AR-15 KTR 綠色槍托
TR-15 Handguard TNR mt16,Weapon Mods,64,AR-15 TNR mt16 護木
Sector 50 rounds magazine,Weapon Mods,64,Vector 50發彈鼓
TR-15 muzzle brake,Weapon Mods,64,AR-15 槍口制退器
STV-40 handguard,Weapon Mods,64,SVT-40 護木
Stas 12 attachment rail,Weapon Mods,64,SPAS-12 導軌
suppressor 5.45x39 Hexaboom,Weapon Mods,64,5.45x39 Hexagon 消音器
EC-101 standard magazine,Weapon Mods,64,AK-101 標準彈匣
Break scope,Weapon Mods,64,BRAVO 瞄準鏡
Renindon 700 clip magazine,Weapon Mods,64,雷明頓 M700 彈匣
NB5 30 round magazine,Weapon Mods,64,MP5 30發彈匣
N1o/skop magazine 30 round,Weapon Mods,64,M1A/SCAR 30發彈匣
Grusa tactical barrel,Weapon Mods,64,OTs-14 戰術槍管
EDL pistol grip,Weapon Mods,64,DVL-10 手槍握把
Sha-12 standard sight,Weapon Mods,64,ShAK-12 標準瞄準鏡
TR-15 B mag magazine GEN T3 Green,Weapon Mods,64,PMAG 30 AR/M4 GEN M3 綠色彈匣
TR-15 LYUA-C Handguard,Weapon Mods,64,AR-15 LYUA-C 護木
modern tactical torch,Weapon Mods,64,現代戰術手電筒
FRD advanced handguard,Weapon Mods,64,SVD 高級護木
EC B mag magazine GEN T3,Weapon Mods,64,PMAG 30 AK74 GEN M3 彈匣
suppressor 762x54,Weapon Mods,64,7.62x54R 消音器
NTS red dot,Weapon Mods,64,MRS 紅點瞄準鏡
Skop short barrel,Weapon Mods,64,SCAR 短槍管
BB 91 30 round magazine,Weapon Mods,64,PP-91 30發彈匣
NB153 handguard,Weapon Mods,64,MP-153 護木
Grusa 50 round magazine,Weapon Mods,64,OTs-14 50發彈鼓
G76 short handguard (desert),Weapon Mods,64,G36 沙漠色短護木
Fanaz advanced rail,Weapon Mods,64,FAMAS 高級導軌
Muzzle brake 5.45x39 ZPWW,Weapon Mods,64,5.45x39 SRVV 槍口制退器
TR-15 stock KTR black,Weapon Mods,64,AR-15 KTR 黑色槍托
TR-15 Handguard KV-rail,Weapon Mods,64,AR-15 KV-rail 護木
Sector 21 rounds magazine,Weapon Mods,64,Vector 21發彈匣
N4o1 long barrel,Weapon Mods,64,M4A1 長槍管
FRD grip stock,Weapon Mods,64,SVD 握把槍托
MKM 35 round magazine,Weapon Mods,64,SKS 35發彈匣
EC handguard Pentagoon,Weapon Mods,64,AK Pentagoon 護木
suppressor 45,Weapon Mods,64,.45 消音器
Skop stock,Weapon Mods,64,SCAR 槍托
Boulder 6 round magazine,Weapon Mods,64,Protecta 6發彈鼓
NB5 20 round magazine,Weapon Mods,64,MP5 20發彈匣
N1o/skop magazine 20 round,Weapon Mods,64,M1A/SCAR 20發彈匣
Grusa short barrel,Weapon Mods,64,OTs-14 短槍管
"Muzzle brake annikilator for 5.56x45, 7.62x51, 9x19",Weapon Mods,64,5.56x45、7.62x51、9x19「終結者」槍口制退器
Sha-12 20 round magazine,Weapon Mods,64,ShAK-12 20發彈匣
TR-15 B mag magazine GEN T3,Weapon Mods,64,PMAG 30 AR/M4 GEN M3 彈匣
N4o1 standard handguard,Weapon Mods,64,M4A1 標準護木
standard tactical torch,Weapon Mods,64,標準戰術手電筒
EC Stock YUAS,Weapon Mods,64,AK YUAS 槍托
FRD polymer handguard,Weapon Mods,64,SVD 聚合物護木
EC 60 round magazine,Weapon Mods,64,AK 60發彈匣
suppressor 7.62x51 PTS/UDK,Weapon Mods,64,7.62x51 PTS/UDK 消音器
EC Tacto SAVV Pistol grip desert,Weapon Mods,64,AK Tacto SAVV 沙漠色手槍握把
Lion scope,Weapon Mods,64,Leupold 瞄準鏡
PRK Standard stock,Weapon Mods,64,RPK 標準槍托
BB 91 20 round magazine,Weapon Mods,64,PP-91 20發彈匣
Nozin modern stock,Weapon Mods,64,Mosin 現代槍托
Grusa 30 round magazine,Weapon Mods,64,OTs-14 20發彈匣
G76 short handguard,Weapon Mods,64,G36 短護木
Fanaz attachment rail,Weapon Mods,64,FAMAS 高級導軌
Muzzle brake 5.45x39 PPD-3C,Weapon Mods,64,5.45x39 RRD-4C 槍口制退器
TR-15 stock KTR desert,Weapon Mods,64,AR-15 KTR 沙漠色槍托
TR-15 Handguard CAK XRU,Weapon Mods,64,AR-15 CAK XRU 護木
N4o1 short barrel,Weapon Mods,64,M4A1 短槍管
FRD modern stock,Weapon Mods,64,SVD 現代槍托
EC74 iron sight,Weapon Mods,64,AK-74 金屬瞄準鏡
MKM 20 round magazine,Weapon Mods,64,SKS 20發彈匣
EC handguard Aggrexxor,Weapon Mods,64,AK Aggrexxor 護木
suppressor 12x70,Weapon Mods,64,12x70 消音器
Skop standard stock,Weapon Mods,64,SCAR 標準槍托
Boulder 12 round magazine,Weapon Mods,64,Protecta 12發彈鼓
NB5 handguard,Weapon Mods,64,MP5 標準護木
N1o modern stock,Weapon Mods,64,M1A 現代槍托
G76 advanced stock,Weapon Mods,64,G36 高級槍托
"Muzzle brake TVS CQB for 9x18, 9x19",Weapon Mods,64,9x18 9x19 TVS CQB 槍口制退器
Sha-12 10 round magazine,Weapon Mods,64,ShAK-12 10發彈匣
TR-15 extended magazine,Weapon Mods,64,AR-15 擴展彈鼓
TR-15 green pistol grip,Weapon Mods,64,AR-15 綠色手槍握把
FRD wooden handguard,Weapon Mods,64,SVD 木質護木
EC handguard Thukov Desert,Weapon Mods,64,AK Thukov 沙漠色護木
suppressor 762x39,Weapon Mods,64,7.62x39 消音器
EC Tacto SAVV Pistol grip,Weapon Mods,64,AK Tacto SAVV 手槍握把
Snake sight,Weapon Mods,64,Kobra 瞄準鏡
PRK Drum magazine,Weapon Mods,64,RPK 彈鼓
BB 91 handguard,Weapon Mods,64,PP-91 護木
Nozin wooden stock,Weapon Mods,64,Mosin 木質槍托
Grusa 20 round magazine,Weapon Mods,64,OTs-14 20發彈匣
G76 long barrel,Weapon Mods,64,G36 長槍管
Muzzle brake 5.45x39 TVS CQB,Weapon Mods,64,5.45x39 TVS CQB 槍口制退器
TR-15 stock,Weapon Mods,64,AR-15 槍托
TR-15 green handguard,Weapon Mods,64,AR-15 綠色護木
ZZ VEL 30 round magazine,Weapon Mods,64,AS Val 30發彈匣
ETS stock,Weapon Mods,64,APS 槍托
FRD polymer stock,Weapon Mods,64,SVD 聚合物槍托
MKM 10 round magazine,Weapon Mods,64,SKS 10發彈匣
EC handguard Thukov,Weapon Mods,64,AK Thukov 護木
Vadoo scope,Weapon Mods,64,Vuduu 瞄準鏡
Skop long handguard,Weapon Mods,64,SCAR 長護木
Boulder attachment rail,Weapon Mods,64,Protecta 導軌
NB5 standard handguard,Weapon Mods,64,MP5 標準護木
N1o archangel stock,Weapon Mods,64,M1A「大天使」槍托
EC 101,Weapons,64,AK-101
Santa EC 74,Weapons,64,聖誕 AK-74
NB5,Weapons,64,MP5
EDL,Weapons,64,DVL-10
FRD,Weapons,64,SVD
BBsH 41,Weapons,64,PPSh-41
N4o1,Weapons,64,M4A1
Wintar BK,Weapons,64,VSS Vintorez
ECM,Weapons,64,AKM
Skop L,Weapons,64,SCAR-L
G 76,Weapons,64,G36
Tus 34,Weapons,64,TOZ-34
Marauder 700 Modern,Weapons,64,雷明頓 M700 PCR
Nozin Makant,Weapons,64,Mosin Nagant
Sha-12,Weapons,64,ShAK-12
Stas 12,Weapons,64,Franchi SPAS-12
BB 19 MOOSE,Weapons,64,PP-19 Bizon
Grusa 4,Weapons,64,Groza-4
VRIZZ Sector .45 acp,Weapons,64,KRISS Vector .45 ACP
EC 74,Weapons,64,AK-74
Sawed off double shotgun,Weapons,64,鋸短散彈槍
MP 133,Weapons,64,MP-133
Fanaz,Weapons,64,FAMAS
STV-40,Weapons,64,SVT-40
Boulder,Weapons,64,Protecta
PN Pokarov,Weapons,64,Makarov PM
ETS,Weapons,64,Stechkin APS
Spyder,Weapons,64,Škorpion vz. 61
F90,Weapons,64,P90
Vlok 17,Weapons,64,Glock 17
PP Kokarev,Weapons,64,PPS-43
PRK 16,Weapons,64,RPK-16
NB 153,Weapons,64,MP-153
